Contact_ID,Call_Date,Direction,cc_care_package,cc_care_package_discussed,cc_urgency_getting_on_site,cc_external_consultant,cc_agent_cross_sell_attempt,cc_customer_issues_concerns,cc_business_struggles_financial_hardship,cc_call_initiated_by,cc_questionnaire_completion,cc_chasing_response,cc_issues_within_questionnaire,cc_login_issues,cc_platform_issues,cc_dissatisfaction_time_to_complete,cc_process_complexity_concerns,cc_questions_harder_than_expected,cc_dissatisfaction_support,cc_contractor_sentiment,cc_contractor_sentiment_start_score,cc_contractor_sentiment_end_score,cc_contractor_sentiment_overall_score,cc_contractor_sentiment_issues_score,cc_pricing_mentioned,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_suggest_leave,cc_contractor_complained,Co_Ref,Analysed_Call,Call_Year
6.25513E+11,08-05-2025,OUT_BOUND,Standard,Yes,No,No,No,Yes,Yes,Customer,No,No,No,No,Yes,Yes,Yes,No,Yes,Dissatisfied,20,30,30,20,Yes,Yes,No,Yes,Yes,HV3323,1,2025
5.91087E+11,25-11-2024,OUT_BOUND,Standard,Yes,No,No,No,Yes,No,Agent,Yes,No,No,No,Yes,Yes,Yes,No,No,Dissatisfied,0,0,0,0,Yes,Yes,No,Yes,Yes,PJ7066,1,2024
5.65091E+11,23-10-2024,IN_BOUND,Standard,Yes,No,No,No,Yes,No,Customer,No,No,No,No,Yes,No,Yes,No,No,Dissatisfied,20,60,40,20,Yes,Yes,No,Yes,Yes,DP6030,1,2024
5.93975E+11,13-01-2025,IN_BOUND,Premier,Yes,No,No,No,Yes,Yes,Customer,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Dissatisfied,20,60,40,30,Yes,Yes,Yes,Yes,Yes,AM2413,1,2025
6.22282E+11,19-03-2025,IN_BOUND,Standard,Yes,No,No,No,Yes,Yes,Customer,No,No,N/A,No,No,No,Yes,No,Yes,Dissatisfied,20,40,40,20,Yes,Yes,No,Yes,Yes,ED6707,1,2025
6.80316E+11,11-08-2025,OUT_BOUND,Standard,Yes,No,No,No,Yes,Yes,Agent,No,No,No,No,Yes,Yes,Yes,No,No,Dissatisfied,50,40,40,20,Yes,Yes,No,Yes,Yes,HA1852,1,2025
6.79955E+11,06-08-2025,IN_BOUND,Standard,Yes,Yes,No,No,Yes,No,Customer,Yes,No,No,No,Yes,No,Yes,No,Yes,Dissatisfied,20,30,20,10,Yes,Yes,No,Yes,Yes,PS9125,1,2025
5.92748E+11,20-12-2024,IN_BOUND,Standard,Yes,No,No,No,Yes,Yes,Customer,No,No,N/A,No,Yes,No,Yes,No,No,Dissatisfied,20,80,60,60,Yes,Yes,No,Yes,Yes,YN3872,1,2024
6.52191E+11,17-06-2025,IN_BOUND,Premier,Yes,No,No,No,Yes,Yes,Customer,No,No,N/A,No,No,No,Yes,No,Yes,Dissatisfied,20,60,40,40,Yes,Yes,No,Yes,Yes,AP7473,1,2025
6.88425E+11,25-11-2025,OUT_BOUND,Standard,Yes,No,No,No,Yes,No,Customer,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Dissatisfied,20,60,40,20,No,No,No,Yes,Yes,IP6445,1,2025
6.80941E+11,20-08-2025,IN_BOUND,Express,Yes,No,No,No,No,No,Customer,No,No,No,Yes,Yes,No,Yes,No,Yes,Dissatisfied,50,20,20,20,Yes,Yes,No,Yes,Yes,II7037,1,2025
6.25851E+11,12-05-2025,IN_BOUND,Standard,Yes,No,No,No,Yes,Yes,Customer,No,No,N/A,No,No,No,Yes,No,No,Dissatisfied,20,80,80,60,Yes,Yes,No,Yes,Yes,EG0701,1,2025
6.89008E+11,02-12-2025,OUT_BOUND,Premier,Yes,Yes,No,No,Yes,No,Agent,No,No,No,No,No,Yes,Yes,No,No,Dissatisfied,20,60,40,40,No,No,No,Yes,Yes,,1,2025
6.88424E+11,25-11-2025,IN_BOUND,Assisted,Yes,No,No,No,Yes,Yes,Customer,No,No,No,No,Yes,No,Yes,No,Yes,Dissatisfied,20,20,20,20,Yes,Yes,Yes,Yes,Yes,RF9231,1,2025
5.96363E+11,18-02-2025,IN_BOUND,Assisted,Yes,No,No,No,Yes,Yes,Customer,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Dissatisfied,20,20,20,20,Yes,Yes,No,Yes,Yes,LS7290,1,2025
6.89199E+11,04-12-2025,IN_BOUND,Express,Yes,No,No,No,Yes,Yes,Customer,No,No,N/A,No,No,No,Yes,No,No,Dissatisfied,40,20,30,20,Yes,Yes,No,Yes,Yes,RS9150,1,2025
6.89552E+11,09-12-2025,OUT_BOUND,Standard,Yes,No,No,No,Yes,No,Agent,No,No,No,No,Yes,No,Yes,No,No,Dissatisfied,50,60,55,40,No,No,No,Yes,Yes,YM0388,1,2025
6.84557E+11,08-10-2025,IN_BOUND,Premier,Yes,No,No,No,Yes,Yes,Customer,No,No,No,No,No,No,Yes,No,Yes,Dissatisfied,40,60,60,40,Yes,Yes,No,Yes,Yes,MG7632,1,2025
6.84954E+11,13-10-2025,OUT_BOUND,Standard,Yes,No,No,No,Yes,Yes,Agent,No,No,No,No,Yes,No,No,No,No,Dissatisfied,40,60,50,30,Yes,Yes,No,Yes,Yes,YL7484,1,2025
5.94137E+11,15-01-2025,IN_BOUND,Premier,Yes,No,No,No,No,No,Customer,No,No,No,No,No,No,No,No,Yes,Dissatisfied,20,80,60,40,Yes,Yes,No,Yes,Yes,KJ9098,1,2025
6.84558E+11,09-10-2025,IN_BOUND,Standard,Yes,No,No,No,Yes,No,Customer,No,No,Not applicable,No,No,No,No,No,No,Dissatisfied,20,60,60,40,Yes,Yes,Yes,Yes,Yes,DG2564,1,2025
5.96363E+11,19-02-2025,OUT_BOUND,Express,Yes,No,No,No,No,No,Customer,No,No,No,No,No,No,No,No,No,,,,,,,,,,,JB9381,1,2025
6.84558E+11,09-10-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,No,N/A,No,Yes,No,No,No,No,Dissatisfied,20,80,80,20,Yes,Yes,No,Yes,Yes,KR2400,1,2025
6.77234E+11,01-07-2025,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,Yes,Customer,No,No,N/A,Yes,No,No,Yes,No,Yes,Dissatisfied,0,50,20,0,Yes,Yes,No,Yes,Yes,BX0353,1,2025
6.7709E+11,30-06-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,No,N/A,No,No,No,No,No,No,Dissatisfied,20,60,40,20,Yes,Yes,No,Yes,Yes,FU6207,1,2025
5.926E+11,17-12-2024,IN_BOUND,Not Discussed,No,No,No,No,No,Yes,Customer,No,No,N/A,No,Yes,No,Yes,No,Yes,Dissatisfied,20,40,30,20,Yes,Yes,Yes,Yes,Yes,GE1738,1,2024
5.95746E+11,10-02-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,No,N/A,No,Yes,No,Yes,No,Yes,Dissatisfied,40,60,60,40,Yes,Yes,Yes,Yes,Yes,GE1738,1,2025
6.90632E+11,22-12-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,No,N/A,No,No,No,Yes,No,No,Dissatisfied,50,50,50,50,Yes,Yes,No,Yes,Yes,HD1337,1,2025
6.78084E+11,11-07-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,No,N/A,No,Yes,No,No,No,Yes,Neutral,50,60,55,50,Yes,Yes,Yes,Yes,Yes,QS6640,1,2025
6.79955E+11,06-08-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,No,N/A,No,Yes,No,Yes,No,Yes,Dissatisfied,50,20,20,20,No,No,Yes,Yes,Yes,TD6813,1,2025
6.89008E+11,02-12-2025,OUT_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,No,N/A,No,No,No,Yes,No,No,Dissatisfied,20,60,60,20,Yes,Yes,No,Yes,Yes,,1,2025
6.87553E+11,14-11-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,No,N/A,No,No,No,Yes,No,No,Dissatisfied,20,60,40,40,Yes,Yes,No,Yes,Yes,GL9081,1,2025
5.90559E+11,15-11-2024,IN_BOUND,Not Discussed,No,No,No,No,No,Yes,Customer,No,No,N/A,No,Yes,No,No,No,Yes,Dissatisfied,20,60,40,40,Yes,Yes,No,Yes,Yes,CQ9953,1,2024
6.24978E+11,29-04-2025,OUT_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,No,N/A,No,No,No,No,No,No,Dissatisfied,50,60,50,50,Yes,Yes,No,Yes,Yes,ND7200,1,2025
6.87862E+11,19-11-2025,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,No,N/A,No,No,No,Yes,No,Yes,Dissatisfied,50,20,20,20,Yes,Yes,Yes,Yes,Yes,IR1360,1,2025
6.8592E+11,27-10-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,No,Not Applicable,No,No,No,Yes,No,Yes,Dissatisfied,20,10,10,10,No,No,No,Yes,Yes,TZ7190,1,2025
5.94293E+11,16-01-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,No,Not applicable,No,No,No,Yes,No,Yes,Satisfied,40,90,90,90,Yes,Yes,Yes,Yes,Yes,YF2574,1,2025
5.95603E+11,06-02-2025,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Agent,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Dissatisfied,20,20,20,20,Yes,Yes,No,Yes,Yes,TV7209,1,2025
6.89718E+11,11-12-2025,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,No,Yes,No,No,No,No,No,No," which was supposed to be included in their public liability insurance.""",Neutral,50,80,80,80,No,No,Contractor agreed to look into the issue and send over the correct document if necessary.,Not Applicable,KB3093,1,2025
6.22846E+11,28-03-2025,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,No,Yes,No,No,Yes,Yes,No,Yes,,,,,,,,,,,RE5476,1,2025
6.76349E+11,18-06-2025,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,No,Not mentioned,No,No,No,No,No,No,Dissatisfied,50,0,0,Not Discussed,No,No,No,Yes,Yes,SV8074,1,2025
5.96363E+11,18-02-2025,OUT_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Agent,Yes,No,Yes,No,Yes,No,Yes,No,No,Dissatisfied,20,40,60,60,Yes,Yes,No,Yes,Yes,NK3531,1,2025
6.784E+11,16-07-2025,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Agent,Yes,No,Yes,No,No,Yes,Yes,No,No,Dissatisfied,20,40,30,20,No,No,No,Yes,Yes,SG4268,1,2025
5.94703E+11,22-01-2025,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Agent,Yes,No,Yes,No,No,No,Yes,No,Yes,Dissatisfied,20,60,60,20,No,No,No,Yes,Yes,SU4549,1,2025
5.90914E+11,20-11-2024,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,No,Yes,No,No,Yes,Yes,No,No,Dissatisfied,20,80,80,20,No,No,No,Yes,Yes,MW2016,1,2024
