Co_Ref,Time_to_Renewal,crm_accreditation_completed,crm_timely_completion,crm_progress_towards_accreditation,crm_delays_in_accreditation,crm_contractor_suggested_leave,crm_contractor_engagement,crm_contractor_sentiment,crm_contractor_sentiment_score,crm_dts_or_ssip_mentioned,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_level,crm_platform_issues_raised,crm_agent_chased_contractor,crm_agent_chase_count,crm_accreditation_issues,crm_membership_overdue,crm_auto_renewal_status,crm_dissatisified_with_renewal_price,crm_customer_complained,crm_refund_mentioned,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,year
KG5766,pre_renewal,Not Discussed,Not Discussed,Not Discussed,Yes,No,Yes,Neutral,50,No,No,No,Not Discussed,No,Yes,1,Not Discussed,Yes,0,No,No,Yes,Yes,No,Yes,2025
EJ1532,14_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Accredited,No,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,Yes,Yes,No,Not Discussed,2025
AA4063,prior_year,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Yes,No,Accredited,No,No,0,Not Discussed,No,0,No,No,Yes,Yes,Yes,Not Discussed,2025
JY9888,prior_year,No,No,Not Discussed,Yes,No,Yes,Satisfied,80,Yes,Yes,No,Accredited,Yes,Yes,3,Not Discussed,Yes,0,Not Discussed,No,Yes,Yes,No,Not Discussed,2025
WO6689,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Satisfied,80,No,Yes,No,Accredited,No,No,0,No,No,0,No,No,Yes,Yes,No,Not Discussed,2026
GW7224,14_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,Yes,Yes,Not Discussed,Not Discussed,2025
SB4066,pre_renewal,Not Discussed,Not Discussed,Not Discussed,Yes,No,Yes,Neutral,50,No,Yes,Not Discussed,Not Discussed,Not Discussed,Yes,3,Not Discussed,Yes,0,Not Discussed,No,Yes,Yes,No,Not Discussed,2026
YK0304,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Yes,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,Yes,Yes,Yes,Not Discussed,2025
HH3570,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Satisfied,80,Yes,Yes,No,Accredited,No,Yes,1,Not Discussed,Yes,0,Not Discussed,No,Yes,Yes,No,Not Discussed,2025
WZ8475,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,No,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,Yes,Yes,Not Discussed,Not Discussed,2025
IA7035,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Not Discussed,No,Not Discussed,No,No,0,Not Discussed,No,0,No,No,Yes,Yes,Yes,Not Discussed,2025
HD5881,prior_year,Not Discussed,Not Discussed,Not Discussed,No,Yes,Yes,Dissatisfied,0,Yes,No,No,In progress,No,No,0,Not Discussed,No,2,Not Discussed,No,Yes,Yes,Yes,Not Discussed,2025
