Contact_ID,Call_Date,Direction,cc_care_package,cc_care_package_discussed,cc_urgency_getting_on_site,cc_external_consultant,cc_agent_cross_sell_attempt,cc_customer_issues_concerns,cc_business_struggles_financial_hardship,cc_call_initiated_by,cc_questionnaire_completion,cc_chasing_response,cc_issues_within_questionnaire,cc_login_issues,cc_platform_issues,cc_dissatisfaction_time_to_complete,cc_process_complexity_concerns,cc_questions_harder_than_expected,cc_dissatisfaction_support,cc_contractor_sentiment,cc_contractor_sentiment_start_score,cc_contractor_sentiment_end_score,cc_contractor_sentiment_overall_score,cc_contractor_sentiment_issues_score,cc_pricing_mentioned,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_suggest_leave,cc_contractor_complained,Co_Ref,Analysed_Call,Call_Year
625513000000.0,2025-05-08,out_bound,standard,yes,no,no,no,yes,yes,customer,no,no,no,no,yes,yes,yes,no,yes,dissatisfied,20,30,30,20,yes,yes,no,yes,yes,hv3323,1,2025
591087000000.0,2024-11-25,out_bound,standard,yes,no,no,no,yes,no,agent,yes,no,no,no,yes,yes,yes,no,no,dissatisfied,0,0,0,0,yes,yes,no,yes,yes,pj7066,1,2024
565091000000.0,2024-10-23,in_bound,standard,yes,no,no,no,yes,no,customer,no,no,no,no,yes,no,yes,no,no,dissatisfied,20,60,40,20,yes,yes,no,yes,yes,dp6030,1,2024
593975000000.0,2025-01-13,in_bound,premier,yes,no,no,no,yes,yes,customer,yes,no,no,no,yes,yes,yes,no,yes,dissatisfied,20,60,40,30,yes,yes,yes,yes,yes,am2413,1,2025
622282000000.0,2025-03-19,in_bound,standard,yes,no,no,no,yes,yes,customer,no,no,,no,no,no,yes,no,yes,dissatisfied,20,40,40,20,yes,yes,no,yes,yes,ed6707,1,2025
680316000000.0,2025-08-11,out_bound,standard,yes,no,no,no,yes,yes,agent,no,no,no,no,yes,yes,yes,no,no,dissatisfied,50,40,40,20,yes,yes,no,yes,yes,ha1852,1,2025
679955000000.0,2025-08-06,in_bound,standard,yes,yes,no,no,yes,no,customer,yes,no,no,no,yes,no,yes,no,yes,dissatisfied,20,30,20,10,yes,yes,no,yes,yes,ps9125,1,2025
592748000000.0,2024-12-20,in_bound,standard,yes,no,no,no,yes,yes,customer,no,no,,no,yes,no,yes,no,no,dissatisfied,20,80,60,60,yes,yes,no,yes,yes,yn3872,1,2024
652191000000.0,2025-06-17,in_bound,premier,yes,no,no,no,yes,yes,customer,no,no,,no,no,no,yes,no,yes,dissatisfied,20,60,40,40,yes,yes,no,yes,yes,ap7473,1,2025
688425000000.0,2025-11-25,out_bound,standard,yes,no,no,no,yes,no,customer,yes,no,yes,no,no,yes,yes,no,yes,dissatisfied,20,60,40,20,no,no,no,yes,yes,ip6445,1,2025
680941000000.0,2025-08-20,in_bound,express,yes,no,no,no,no,no,customer,no,no,no,yes,yes,no,yes,no,yes,dissatisfied,50,20,20,20,yes,yes,no,yes,yes,ii7037,1,2025
625851000000.0,2025-05-12,in_bound,standard,yes,no,no,no,yes,yes,customer,no,no,,no,no,no,yes,no,no,dissatisfied,20,80,80,60,yes,yes,no,yes,yes,eg0701,1,2025
688424000000.0,2025-11-25,in_bound,assisted,yes,no,no,no,yes,yes,customer,no,no,no,no,yes,no,yes,no,yes,dissatisfied,20,20,20,20,yes,yes,yes,yes,yes,rf9231,1,2025
596363000000.0,2025-02-18,in_bound,assisted,yes,no,no,no,yes,yes,customer,yes,no,no,no,yes,yes,yes,no,yes,dissatisfied,20,20,20,20,yes,yes,no,yes,yes,ls7290,1,2025
689199000000.0,2025-12-04,in_bound,express,yes,no,no,no,yes,yes,customer,no,no,,no,no,no,yes,no,no,dissatisfied,40,20,30,20,yes,yes,no,yes,yes,rs9150,1,2025
689552000000.0,2025-12-09,out_bound,standard,yes,no,no,no,yes,no,agent,no,no,no,no,yes,no,yes,no,no,dissatisfied,50,60,55,40,no,no,no,yes,yes,ym0388,1,2025
684557000000.0,2025-10-08,in_bound,premier,yes,no,no,no,yes,yes,customer,no,no,no,no,no,no,yes,no,yes,dissatisfied,40,60,60,40,yes,yes,no,yes,yes,mg7632,1,2025
684954000000.0,2025-10-13,out_bound,standard,yes,no,no,no,yes,yes,agent,no,no,no,no,yes,no,no,no,no,dissatisfied,40,60,50,30,yes,yes,no,yes,yes,yl7484,1,2025
