Co_Ref,Time_to_Renewal,crm_accreditation_completed,crm_timely_completion,crm_progress_towards_accreditation,crm_delays_in_accreditation,crm_contractor_suggested_leave,crm_contractor_engagement,crm_contractor_sentiment,crm_contractor_sentiment_score,crm_dts_or_ssip_mentioned,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_level,crm_platform_issues_raised,crm_agent_chased_contractor,crm_agent_chase_count,crm_accreditation_issues,crm_membership_overdue,crm_auto_renewal_status,crm_dissatisified_with_renewal_price,crm_customer_complained,crm_refund_mentioned,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,year
kg5766,pre_renewal,not discussed,not discussed,not discussed,yes,no,yes,neutral,50,no,no,no,not discussed,no,yes,1,not discussed,yes,0,no,no,yes,yes,no,yes,2025
ej1532,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,accredited,no,yes,1,not discussed,not discussed,0,not discussed,no,yes,yes,no,not discussed,2025
aa4063,prior_year,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,yes,no,accredited,no,no,0,not discussed,no,0,no,no,yes,yes,yes,not discussed,2025
jy9888,prior_year,no,no,not discussed,yes,no,yes,satisfied,80,yes,yes,no,accredited,yes,yes,3,not discussed,yes,0,not discussed,no,yes,yes,no,not discussed,2025
wo6689,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,satisfied,80,no,yes,no,accredited,no,no,0,no,no,0,no,no,yes,yes,no,not discussed,2026
gw7224,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,yes,yes,not discussed,not discussed,2025
sb4066,pre_renewal,not discussed,not discussed,not discussed,yes,no,yes,neutral,50,no,yes,not discussed,not discussed,not discussed,yes,3,not discussed,yes,0,not discussed,no,yes,yes,no,not discussed,2026
yk0304,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,yes,no,0,not discussed,not discussed,0,not discussed,no,yes,yes,yes,not discussed,2025
hh3570,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,satisfied,80,yes,yes,no,accredited,no,yes,1,not discussed,yes,0,not discussed,no,yes,yes,no,not discussed,2025
wz8475,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,no,yes,1,not discussed,not discussed,0,not discussed,no,yes,yes,not discussed,not discussed,2025
ia7035,14_out,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,not discussed,no,not discussed,no,no,0,not discussed,no,0,no,no,yes,yes,yes,not discussed,2025
hd5881,prior_year,not discussed,not discussed,not discussed,no,yes,yes,dissatisfied,0,yes,no,no,in progress,no,no,0,not discussed,no,2,not discussed,no,yes,yes,yes,not discussed,2025
yk0304,prior_year,no,no,not discussed,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,in progress,no,yes,3,not discussed,yes,0,not discussed,no,yes,yes,no,not discussed,2025
hv0411,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,satisfied,80,no,yes,no,not discussed,no,yes,1,not discussed,yes,0,no,no,yes,yes,no,not discussed,2026
rt3992,14_out,not discussed,not discussed,not discussed,no,no,yes,satisfied,80,no,not discussed,no,not discussed,no,yes,1,not discussed,not discussed,0,not discussed,no,yes,yes,no,not discussed,2025
