Co_Ref,total_interactions,cc_call_ratio,low_engagement,total_emails,tenure_bucket,Band,Anchor_Group,Payment_Method,Payment_Timeframe,Renewal_Year,Sustainability_Score,Total_Renewal_Score_New,Auto_Renewal_Score,Anchoring_Score,Tenure_Scores,churn,negative_calls,complaint_calls,cancel_intent_calls,switching_intent_calls,cc_complaint_calls,cc_financial_stress_calls,cc_pricing_issue_calls,cc_platform_issue_calls,cc_support_dissatisfaction_calls,email_complaints,email_negative_exp,email_financial_issue,email_price_issue,low_payment_intent_count,email_interactions
vt6174,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2024,8.0,42.5,9,7.5,9.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
vd3828,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0
dv8120,0.0,0.0,1,0.0,TB_5-10,band c1,1,card,0.0,2025,8.0,33.0,8,7.5,9.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
ez9894,7.0,0.625,0,2.0,TB_10+,band c1,1,card,0.0,2025,9.5,44.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0
fa8957,6.0,0.2857142857142857,0,4.0,TB_1-3,band c1,1,card,0.0,2025,9.5,42.5,9,7.5,8.5,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
qs2598,1.0,0.0,0,1.0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
cj9355,2.0,0.0,0,2.0,TB_10+,band c1,1,card,0.0,2025,8.0,43.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
fp1608,2.0,0.0,0,2.0,TB_5-10,band c1,1,card,0.0,2024,9.5,44.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0
tz9717,1.0,0.0,0,1.0,TB_5-10,band c1,1,card,0.0,2024,8.0,41.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
up7099,3.0,0.25,0,2.0,TB_1-3,band c1,1,card,0.0,2025,8.0,42.0,9,7.5,8.5,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0
ph4375,1.0,0.0,0,1.0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
xr6623,1.0,0.0,0,1.0,TB_5-10,band c1,1,card,0.0,2024,8.0,41.0,9,7.5,9.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
ec7710,1.0,0.0,0,1.0,TB_10+,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
xb1571,2.0,0.0,0,2.0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.0
hw0449,1.0,0.0,0,1.0,TB_10+,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0
yk0157,4.0,0.0,0,4.0,TB_0-1,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,9.0
ff9526,1.0,0.0,0,1.0,TB_5-10,band c1,1,card,0.0,2025,8.0,43.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
ov0744,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
df2920,4.0,0.4,0,2.0,TB_5-10,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0
dv4517,2.0,0.0,0,2.0,TB_3-5,band c1,1,card,0.0,2025,9.5,44.0,9,7.5,9.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
jb9276,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,9.5,43.0,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
uh8358,1.0,0.0,0,1.0,TB_5-10,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,9.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
hk3741,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,9.5,43.0,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
kz2465,1.0,0.0,0,1.0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
in1873,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
sl0135,4.0,0.4,0,2.0,TB_5-10,band c1,1,card,0.0,2025,8.0,43.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
xn5284,2.0,0.0,0,2.0,TB_10+,band c1,1,card,0.0,2025,9.0,44.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
lv5964,3.0,0.0,0,3.0,TB_3-5,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,8.0
rz3240,3.0,0.0,0,3.0,TB_0-1,band c1,1,card,0.0,2025,8.0,38.5,8,7.5,8.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0
kx6030,2.0,0.0,0,2.0,TB_5-10,band c1,1,card,0.0,2025,9.0,44.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
na1024,3.0,0.0,0,3.0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
hz9981,1.0,0.0,0,1.0,TB_1-3,band c1,1,bacs,0.0,2025,8.0,39.0,8,7.5,8.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
cp3008,2.0,0.0,0,2.0,TB_5-10,band c1,1,bacs,0.0,2025,9.5,43.5,8,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
dv2302,1.0,0.0,0,1.0,TB_3-5,band c1,1,bacs,0.0,2025,8.0,41.5,9,7.5,9.0,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0
sl4621,2.0,0.0,0,2.0,TB_3-5,band c1,1,card,0.0,2025,9.0,43.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
vm0154,1.0,0.0,0,1.0,TB_10+,band c1,1,bacs,0.0,2025,8.0,40.0,8,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
pt2675,2.0,0.0,0,2.0,TB_3-5,band c1,1,bacs,0.0,2024,9.5,43.0,9,7.5,9.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
bu7217,4.0,0.0,0,4.0,TB_1-3,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,8.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0
hm8968,2.0,0.0,0,2.0,TB_1-3,band c1,1,card,0.0,2025,9.0,43.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ka8573,3.0,0.0,0,2.0,TB_1-3,band c1,1,card,0.0,2025,8.0,41.0,8,7.5,8.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0
av7847,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,9.0,42.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
ve1025,4.0,0.0,0,4.0,TB_3-5,band c1,1,card,0.0,2025,9.5,44.0,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0
ie8377,2.0,0.0,0,2.0,TB_3-5,band c1,1,bacs,0.0,2025,8.0,41.5,8,7.5,9.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0
mq1920,3.0,0.0,0,3.0,TB_3-5,band c1,1,card,0.0,2025,8.0,42.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,9.0
zz6893,4.0,0.0,0,4.0,TB_1-3,band c1,1,card,0.0,2025,8.0,39.0,8,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,8.0,7.0
mm5057,2.0,0.0,0,2.0,TB_1-3,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,8.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
ln5091,1.0,0.0,0,1.0,TB_3-5,band c1,1,card,0.0,2025,9.5,44.0,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
nu4078,2.0,0.0,0,2.0,TB_3-5,band c1,1,card,0.0,2025,9.5,44.0,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
ec8393,2.0,0.0,0,2.0,TB_1-3,band c1,1,card,0.0,2025,8.0,42.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
lq9972,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2025,8.0,42.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
wp8665,2.0,0.0,0,2.0,TB_10+,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0
fr8342,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2025,8.0,40.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ga5137,2.0,0.0,0,2.0,TB_0-1,band c1,1,card,0.0,2025,9.0,42.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0
yl7725,3.0,0.25,0,2.0,TB_1-3,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0
zs3708,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2025,8.0,40.0,9,7.5,8.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0
br3795,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,9.0,42.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
no8497,2.0,0.0,0,2.0,TB_5-10,band c1,1,card,0.0,2025,9.5,44.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
um1983,2.0,0.0,0,2.0,TB_0-1,band c1,1,card,0.0,2025,8.0,39.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
dx9231,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2024,8.0,32.0,8,7.5,8.5,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,5.0
ez6180,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2024,9.0,43.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
jf2317,2.0,0.0,0,2.0,TB_0-1,band c1,1,card,0.0,2025,9.0,42.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
jj4185,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,8.0,39.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
uo5438,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,9.5,43.0,9,7.5,8.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0
xl0702,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
cv3569,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,9.0,42.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
du6590,2.0,0.0,0,2.0,TB_0-1,band c1,1,card,0.0,2024,8.0,42.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0
ij0803,2.0,0.0,0,2.0,TB_3-5,band c1,1,card,0.0,2025,8.0,42.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
rt2404,3.0,0.0,0,3.0,TB_0-1,band c1,1,card,0.0,2025,8.0,39.5,9,7.5,8.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0
kg7079,2.0,0.0,0,2.0,TB_1-3,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
uy2868,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2025,8.0,40.0,9,7.5,8.5,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
gm1241,1.0,0.0,0,1.0,TB_5-10,band c1,1,card,0.0,2025,9.0,43.0,9,7.5,9.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0
gt7898,2.0,0.0,0,2.0,TB_3-5,band c1,1,card,0.0,2024,9.5,44.0,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
iw1124,2.0,0.0,0,2.0,TB_5-10,band c1,1,card,0.0,2024,8.0,33.0,8,7.5,9.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0
oq9016,1.0,0.0,0,1.0,TB_5-10,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
gw1671,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
jn1070,3.0,0.0,0,3.0,TB_5-10,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0
sg2504,1.0,0.0,0,1.0,TB_5-10,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0
nc5691,3.0,0.25,0,2.0,TB_3-5,band c1,1,world pay,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
et7763,2.0,0.0,0,2.0,TB_10+,band c1,1,card,0.0,2024,8.0,41.0,9,7.5,9.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0
kz9678,2.0,0.0,0,2.0,TB_0-1,band c1,1,card,0.0,2025,9.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0
zo1829,2.0,0.0,0,2.0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
cp1006,1.0,0.0,0,1.0,TB_Unknown,band c1,1,card,0.0,2025,8.0,42.5,9,7.5,9.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
dz0893,1.0,0.0,0,1.0,TB_1-3,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
jc6160,3.0,0.25,0,2.0,TB_0-1,band c1,1,card,0.0,2025,9.5,43.0,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
jj4690,1.0,0.0,0,1.0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
iz3172,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0
kl9623,2.0,0.0,0,2.0,TB_0-1,band c1,1,card,0.0,2025,9.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0
te5069,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,8.0,39.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
nc6791,3.0,0.0,0,3.0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
nx1289,0.0,0.0,1,0.0,TB_1-3,band c1,1,card,0.0,2025,8.0,42.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
je6921,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2025,9.0,42.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
co9651,2.0,0.0,0,2.0,TB_10+,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0
tm2949,3.0,0.0,0,3.0,TB_0-1,band c1,1,card,0.0,2025,8.0,39.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
ua0033,2.0,0.0,0,2.0,TB_1-3,band c1,1,card,0.0,2025,9.5,41.5,9,7.5,8.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,5.0
mp9450,1.0,0.0,0,1.0,TB_0-1,band c1,1,card,0.0,2024,8.0,31.5,8,7.5,8.0,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0
zv5570,1.0,0.0,0,1.0,TB_5-10,band d,1,card,0.0,2025,8.0,43.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
et3126,2.0,0.0,0,2.0,TB_5-10,band c2,1,card,0.0,2026,9.0,43.0,8,7.5,9.5,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,2.0
sf9350,2.0,0.0,0,2.0,TB_5-10,band c2,1,card,0.0,2025,9.0,44.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
oo0872,1.0,0.0,0,1.0,TB_5-10,band d,1,card,0.0,2025,9.5,44.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0
pi9101,3.0,0.0,0,3.0,TB_5-10,band c2,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
xb1398,1.0,0.0,0,1.0,TB_5-10,band c2,1,card,0.0,2025,9.5,44.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
cj6771,3.0,0.25,0,2.0,TB_5-10,band d,1,card,0.0,2025,9.0,44.0,9,7.5,9.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ht5115,1.0,0.0,0,1.0,TB_10+,band d,1,card,0.0,2025,9.5,44.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
jg4983,1.0,0.0,0,1.0,TB_5-10,band c1,1,card,0.0,2025,8.0,43.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
qr1742,1.0,0.0,0,1.0,TB_10+,band d,1,card,0.0,2025,9.5,43.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
