cc_call_ratio,low_engagement,tenure_bucket,Band,Anchor_Group,Payment_Method,Payment_Timeframe,Renewal_Year,Sustainability_Score,Total_Renewal_Score_New,Auto_Renewal_Score,Anchoring_Score,Tenure_Scores,churn,negative_calls,complaint_calls,cancel_intent_calls,switching_intent_calls,cc_complaint_calls,cc_financial_stress_calls,cc_pricing_issue_calls,cc_platform_issue_calls,cc_support_dissatisfaction_calls,email_complaints,email_negative_exp,email_financial_issue,email_price_issue,low_payment_intent_count,email_interactions
0.0,0,TB_1-3,band c1,1,card,0.0,2024,8.0,42.5,9,7.5,9.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0
0.0,1,TB_5-10,band c1,1,card,0.0,2025,8.0,33.0,8,7.5,9.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
0.625,0,TB_10+,band c1,1,card,0.0,2025,9.5,44.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0
0.2857142857142857,0,TB_1-3,band c1,1,card,0.0,2025,9.5,42.5,9,7.5,8.5,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
0.0,0,TB_10+,band c1,1,card,0.0,2025,8.0,43.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
0.0,0,TB_5-10,band c1,1,card,0.0,2024,9.5,44.5,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0
0.0,0,TB_5-10,band c1,1,card,0.0,2024,8.0,41.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0.25,0,TB_1-3,band c1,1,card,0.0,2025,8.0,42.0,9,7.5,8.5,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
0.0,0,TB_5-10,band c1,1,card,0.0,2024,8.0,41.0,9,7.5,9.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.0,0,TB_10+,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.0
0.0,0,TB_10+,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,9.0
0.0,0,TB_5-10,band c1,1,card,0.0,2025,8.0,43.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.4,0,TB_5-10,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,9.5,44.0,9,7.5,9.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,9.5,43.0,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
0.0,0,TB_5-10,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,9.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,9.5,43.0,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.4,0,TB_5-10,band c1,1,card,0.0,2025,8.0,43.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.0,0,TB_10+,band c1,1,card,0.0,2025,9.0,44.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,8.0,41.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,8.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,8.0,38.5,8,7.5,8.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0
0.0,0,TB_5-10,band c1,1,card,0.0,2025,9.0,44.0,9,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,8.0,40.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
0.0,0,TB_1-3,band c1,1,bacs,0.0,2025,8.0,39.0,8,7.5,8.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
0.0,0,TB_5-10,band c1,1,bacs,0.0,2025,9.5,43.5,8,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
0.0,0,TB_3-5,band c1,1,bacs,0.0,2025,8.0,41.5,9,7.5,9.0,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,9.0,43.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
0.0,0,TB_10+,band c1,1,bacs,0.0,2025,8.0,40.0,8,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
0.0,0,TB_3-5,band c1,1,bacs,0.0,2024,9.5,43.0,9,7.5,9.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
0.0,0,TB_1-3,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,8.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0
0.0,0,TB_1-3,band c1,1,card,0.0,2025,9.0,43.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,0,TB_1-3,band c1,1,card,0.0,2025,8.0,41.0,8,7.5,8.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0
0.0,0,TB_0-1,band c1,1,card,0.0,2025,9.0,42.5,9,7.5,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,9.5,44.0,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0
0.0,0,TB_3-5,band c1,1,bacs,0.0,2025,8.0,41.5,8,7.5,9.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,8.0,42.5,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,9.0
0.0,0,TB_1-3,band c1,1,card,0.0,2025,8.0,39.0,8,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,8.0,7.0
0.0,0,TB_1-3,band c1,1,card,0.0,2025,9.5,43.5,9,7.5,8.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,9.5,44.0,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
0.0,0,TB_3-5,band c1,1,card,0.0,2025,9.5,44.0,9,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
0.0,0,TB_1-3,band c1,1,card,0.0,2025,8.0,42.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
0.0,0,TB_1-3,band c1,1,card,0.0,2025,8.0,42.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
0.0,0,TB_10+,band c1,1,card,0.0,2025,8.0,41.0,9,7.5,9.5,0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0
0.0,0,TB_1-3,band c1,1,card,0.0,2025,8.0,40.0,9,7.5,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
